name;happinessIndex;gdpPerCapita;socialSupport;healthIndex;freedomIndex;corruptionPerception;generosityIndex
Norway;1,000000;0,302491;1,000000;0,673410;1,000000;0,685393;0,876147
Switzerland;0,965160;0,174377;0,816393;0,742775;0,810976;0,691011;0,839450
Luxembourg;0,781544;0,733096;0,662295;0,627168;0,530488;0,615169;0,522936
Ireland;0,749058;0,341637;0,904918;0,589595;0,469512;0,598315;1,000000
United States;0,688324;0,106762;0,590164;0,228324;0,091463;0,087079;0,917431
United Arab Emirates;0,656780;0,355872;0,108197;0,086705;0,969512;0,238764;0,834862
Saudi Arabia;0,444915;0,000000;0,262295;0,000000;0,000000;0,098315;0,000000
Qatar;0,444444;1,000000;0,118033;0,219653;0,707317;0,196629;0,642202
Singapore;0,391714;0,601423;0,609836;1,000000;0,713415;1,000000;0,876147
Kuwait;0,278249;0,345196;0,137705;0,037572;0,329268;0,000000;0,284404
Hong Kong;0,000000;0,124555;0,000000;0,945087;0,006098;0,533708;0,816514
